ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
FFLA3CK15,FFLA3CK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RFF030006,ACTIVA
FFLA4CK15,FFLA4CK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RFF040005,ACTIVA
FIECK24D,FIECK24D.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER",BMV,Acción,,ACTIVA
FIECK23D,FIECK23D.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER",BMV,Acción,,ACTIVA
FIECK23-2D,FIECK23-2D.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER",BMV,Acción,,ACTIVA
FIMMCK09,FIMMCK09.MX,NO,,"THE BANK OF NEW YORK MELLON, S.A., INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RFI0Q0006,ACTIVA
FINAMEXO,FINAMEXO.MX,SI,38.0,"CASA DE BOLSA FINAMEX, S.A.B. DE C.V.",BMV,Acción,MX03FI2S0005,ACTIVA
FINDEP*,FINDEP.MX,SI,8.79,"FINANCIERA INDEPENDENCIA, S.A.B. DE C.V. SOFOM, E.N.R.",BMV,Acción,MX00FI050003,ACTIVA
FNSA3CK21-2D,FNSA3CK21-2D.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
FNSA3CK21-3D,FNSA3CK21-3D.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
FNSA3CK21D,FNSA3CK21D.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
FORTMCK18,FORTMCK18.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",BIVA,Acción,MX1RFO0J0003,ACTIVA
FORTMCK22,FORTMCK22.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",BIVA,Acción,MX1RFO0J0011,ACTIVA
